,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
10,14,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,Polygon,MATIC,12388750006.71,16633900106.16,1.42,1.61,1.51,1.56,3.37,1547658921.8,1.66,2053777251.2,0.1658,0.73,7447892513.0,10000000000.0,10000000000.0,0.1036,1.81,1.53,2.19,1.31,2.19,1.31,2.92,1.31,2.92,0.03626,2.92,0.003012,"Dec 27, 2021","May 09, 2019",2022-01-26 21:26:04.020162,6.240963855421687
11,16,https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png,TerraUSD,UST,11213983530.08,11213983530.08,0.9949,1.0,1.0,1.0,0.01,401486401.69,1.0,455771512.1,0.04064,0.66,11198278863.0,0.0,11198278863.0,0.00409,1.0,0.9948,1.01,0.9947,1.01,0.9947,1.04,0.9671,1.05,0.9186,1.05,0.7929,"Jan 30, 2021","Dec 30, 2020",2022-01-26 21:26:06.428164,0.409
12,20,https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png,Cosmos,ATOM,9435025793.56,0.0,35.06,37.09,35.9,35.8,0.27,2514518995.39,32.95,2167354981.12,0.2297,0.56,286370297.0,0.0,0.0,-2.59,36.0,32.95,42.01,27.75,42.01,27.75,44.52,20.29,44.7,6.79,44.7,1.13,"Sep 20, 2021","Mar 13, 2020",2022-01-26 21:26:09.993316,-7.860394537177541
13,21,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,Litecoin,LTC,7651583585.18,9247819819.47,106.34,109.68,109.59,108.07,1.39,909091095.58,110.09,990265319.56,0.1294,0.45,69501032.0,84000000.0,84000000.0,2.23,115.78,107.05,142.53,98.67,142.53,98.67,294.56,98.67,412.96,98.67,412.96,1.11,"May 10, 2021","Jan 14, 2015",2022-01-26 21:26:12.905728,2.0256154055772546
14,23,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,NEAR Protocol,NEAR,7265054021.54,11690910876.71,10.02,12.42,10.7,12.15,13.53,927723142.46,11.69,1059737207.72,0.1459,0.43,621427543.0,1000000000.0,1000000000.0,-0.3145,12.84,11.47,17.5,9.57,17.5,9.57,20.42,6.22,20.42,1.55,20.42,0.526,"Jan 16, 2022","Nov 04, 2020",2022-01-26 21:26:16.614709,-2.690333618477331
15,25,https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png,Algorand,ALGO,6168595123.53,9422492332.25,0.8709,0.9403,0.9179,0.9293,1.25,299595308.74,0.9422,357558842.61,0.05796,0.36,6546670356.0,10000000000.0,6986474837.0,0.02996,0.9896,0.8932,1.32,0.8082,1.32,0.8082,2.83,0.8082,2.83,0.5263,3.28,0.1024,"Jun 21, 2019","Mar 13, 2020",2022-01-26 21:26:18.854199,3.179791976225854
16,26,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,Fantom,FTM,5865203323.8,7317082378.39,2.17,2.46,2.25,2.38,5.58,1823467990.4,2.3,1944603171.93,0.3315,0.35,2545006273.0,3175000000.0,2545006273.0,-0.07715,2.52,2.28,3.02,1.81,3.02,1.81,3.36,1.18,3.48,0.06521,3.48,0.001953,"Oct 28, 2021","Mar 13, 2020",2022-01-26 21:26:21.069189,-3.3543478260869564
17,27,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRON,TRX,5740847674.76,5740847683.51,0.05445,0.05604,0.05505,0.05587,1.5,1109217821.64,0.05639,1035271276.69,0.1803,0.34,101805471138.0,0.0,101805471293.0,0.000843,0.05869,0.05525,0.07195,0.05137,0.07195,0.05137,0.1291,0.05137,0.1799,0.02761,0.3004,0.001091,"Jan 05, 2018","Sep 15, 2017",2022-01-26 21:26:24.054206,1.4949459123958149
18,28,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,Bitcoin Cash,BCH,5640262383.72,6245125048.71,285.41,294.09,292.21,292.23,0.01,4865661411.59,297.39,4806772735.62,0.8522,0.33,18966075.0,21000000.0,18966075.0,6.74,312.76,287.66,383.71,262.5,383.71,262.5,729.98,262.5,1635.15,262.5,4355.62,75.08,"Dec 20, 2017","Dec 15, 2018",2022-01-26 21:26:26.626340,2.2663842092874678
19,30,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,Stellar,XLM,4911638956.23,9894137478.69,0.1886,0.1985,0.1977,0.1968,0.43,363440654.84,0.1979,389972673.21,0.0794,0.29,24821852612.0,50001806812.0,50001802273.0,0.002948,0.207,0.1935,0.2523,0.1721,0.2523,0.1721,0.4403,0.1721,0.7965,0.1721,0.9381,0.001227,"Jan 04, 2018","Nov 18, 2014",2022-01-26 21:26:28.886237,1.4896412329459323
