,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date
10,14,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,Polygon,MATIC,"$12,388,750,006.71","$16,633,900,106.16",$1.42,$1.61,$1.51,$1.56,3.37%,"$1,547,658,921.80",$1.66,"$2,053,777,251.20",0.1658,0.73%,"7,447,892,513","10,000,000,000","10,000,000,000",$0.1036,$1.81,$1.53,$2.19,$1.31,$2.19,$1.31,$2.92,$1.31,$2.92,$0.03626,$2.92,$0.003012,"Dec 27, 2021","May 09, 2019",2022-01-26 21:26:04.020162
11,16,https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png,TerraUSD,UST,"$11,213,983,530.08","$11,213,983,530.08",$0.9949,$1.00,$1.00,$1.00,0.01%,"$401,486,401.69",$1.00,"$455,771,512.10",0.04064,0.66%,"11,198,278,863",No,"11,198,278,863",$0.00409,$1.00,$0.9948,$1.01,$0.9947,$1.01,$0.9947,$1.04,$0.9671,$1.05,$0.9186,$1.05,$0.7929,"Jan 30, 2021","Dec 30, 2020",2022-01-26 21:26:06.428164
12,20,https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png,Cosmos,ATOM,"$9,435,025,793.56",NaN,$35.06,$37.09,$35.90,$35.80,0.27%,"$2,514,518,995.39",$32.95,"$2,167,354,981.12",0.2297,0.56%,"286,370,297",No,No,$-2.59,$36.00,$32.95,$42.01,$27.75,$42.01,$27.75,$44.52,$20.29,$44.70,$6.79,$44.70,$1.13,"Sep 20, 2021","Mar 13, 2020",2022-01-26 21:26:09.993316
13,21,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,Litecoin,LTC,"$7,651,583,585.18","$9,247,819,819.47",$106.34,$109.68,$109.59,$108.07,1.39%,"$909,091,095.58",$110.09,"$990,265,319.56",0.1294,0.45%,"69,501,032","84,000,000","84,000,000",$2.23,$115.78,$107.05,$142.53,$98.67,$142.53,$98.67,$294.56,$98.67,$412.96,$98.67,$412.96,$1.11,"May 10, 2021","Jan 14, 2015",2022-01-26 21:26:12.905728
14,23,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,NEAR Protocol,NEAR,"$7,265,054,021.54","$11,690,910,876.71",$10.02,$12.42,$10.70,$12.15,13.53%,"$927,723,142.46",$11.69,"$1,059,737,207.72",0.1459,0.43%,"621,427,543","1,000,000,000","1,000,000,000",$-0.3145,$12.84,$11.47,$17.50,$9.57,$17.50,$9.57,$20.42,$6.22,$20.42,$1.55,$20.42,$0.526,"Jan 16, 2022","Nov 04, 2020",2022-01-26 21:26:16.614709
15,25,https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png,Algorand,ALGO,"$6,168,595,123.53","$9,422,492,332.25",$0.8709,$0.9403,$0.9179,$0.9293,1.25%,"$299,595,308.74",$0.9422,"$357,558,842.61",0.05796,0.36%,"6,546,670,356","10,000,000,000","6,986,474,837",$0.02996,$0.9896,$0.8932,$1.32,$0.8082,$1.32,$0.8082,$2.83,$0.8082,$2.83,$0.5263,$3.28,$0.1024,"Jun 21, 2019","Mar 13, 2020",2022-01-26 21:26:18.854199
16,26,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,Fantom,FTM,"$5,865,203,323.80","$7,317,082,378.39",$2.17,$2.46,$2.25,$2.38,5.58%,"$1,823,467,990.40",$2.30,"$1,944,603,171.93",0.3315,0.35%,"2,545,006,273","3,175,000,000","2,545,006,273",$-0.07715,$2.52,$2.28,$3.02,$1.81,$3.02,$1.81,$3.36,$1.18,$3.48,$0.06521,$3.48,$0.001953,"Oct 28, 2021","Mar 13, 2020",2022-01-26 21:26:21.069189
17,27,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRON,TRX,"$5,740,847,674.76","$5,740,847,683.51",$0.05445,$0.05604,$0.05505,$0.05587,1.5%,"$1,109,217,821.64",$0.05639,"$1,035,271,276.69",0.1803,0.34%,"101,805,471,138",No,"101,805,471,293",$0.000843,$0.05869,$0.05525,$0.07195,$0.05137,$0.07195,$0.05137,$0.1291,$0.05137,$0.1799,$0.02761,$0.3004,$0.001091,"Jan 05, 2018","Sep 15, 2017",2022-01-26 21:26:24.054206
18,28,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,Bitcoin Cash,BCH,"$5,640,262,383.72","$6,245,125,048.71",$285.41,$294.09,$292.21,$292.23,0.01%,"$4,865,661,411.59",$297.39,"$4,806,772,735.62",0.8522,0.33%,"18,966,075","21,000,000","18,966,075",$6.74,$312.76,$287.66,$383.71,$262.50,$383.71,$262.50,$729.98,$262.50,"$1,635.15",$262.50,"$4,355.62",$75.08,"Dec 20, 2017","Dec 15, 2018",2022-01-26 21:26:26.626340
19,30,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,Stellar,XLM,"$4,911,638,956.23","$9,894,137,478.69",$0.1886,$0.1985,$0.1977,$0.1968,0.43%,"$363,440,654.84",$0.1979,"$389,972,673.21",0.0794,0.29%,"24,821,852,612","50,001,806,812","50,001,802,273",$0.002948,$0.207,$0.1935,$0.2523,$0.1721,$0.2523,$0.1721,$0.4403,$0.1721,$0.7965,$0.1721,$0.9381,$0.001227,"Jan 04, 2018","Nov 18, 2014",2022-01-26 21:26:28.886237
20,31,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,Internet Computer,ICP,"$4,002,317,397.19","$9,583,285,970.41",$19.70,$21.28,$20.71,$20.05,3.19%,"$267,114,780.70",$20.11,"$345,224,971.60",0.08626,0.24%,"199,026,765",No,"476,556,508",$-0.5312,$21.72,$19.70,$28.48,$18.58,$28.48,$18.58,$58.26,$18.58,$750.73,$0,$750.73,NaN,"May 10, 2021","May 10, 2021",2022-01-26 21:26:31.257410
21,34,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,Hedera,HBAR,"$3,836,386,142.81","$10,601,973,574.65",$0.1982,$0.2164,$0.2067,$0.2117,2.4%,"$88,407,832.28",$0.212,"$93,011,891.94",0.02424,0.23%,"18,092,792,421","50,000,000,000","50,000,000,000",$-0.001481,$0.2226,$0.2075,$0.2817,$0.1874,$0.2817,$0.1874,$0.4768,$0.1874,$0.5701,$0.07712,$0.5701,$0.01001,"Sep 16, 2021","Jan 02, 2020",2022-01-26 21:26:33.587448
22,35,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VeChain,VET,"$3,459,973,031.51","$4,664,863,331.56",$0.04964,$0.05415,$0.05136,$0.05331,3.81%,"$260,034,943.86",$0.0538,"$319,546,413.36",0.09236,0.21%,"64,315,576,989","86,712,634,466","86,712,634,466",$0.001233,$0.05837,$0.05157,$0.07469,$0.0441,$0.07469,$0.0441,$0.1875,$0.0441,$0.2782,$0.02448,$0.2782,$0.001678,"Apr 17, 2021","Mar 13, 2020",2022-01-26 21:26:37.271305
23,37,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,Ethereum Classic,ETC,"$3,283,872,106.26","$5,220,233,965.60",$23.28,$24.23,$24.10,$24.00,0.43%,"$402,838,369.98",$24.78,"$420,747,737.14",0.1281,0.19%,"132,544,223","210,700,000","210,700,000",$0.9911,$26.19,$23.53,$31.93,$21.74,$31.93,$21.74,$64.94,$21.74,$176.16,$6.67,$176.16,$0.4524,"May 06, 2021","Jul 25, 2016",2022-01-26 21:26:39.704475
24,38,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,Klaytn,KLAY,"$3,238,024,174.80","$13,286,363,481.82",$1.17,$1.24,$1.22,$1.23,0.71%,"$58,364,133.98",$1.23,"$119,705,311.52",0.03697,0.19%,"2,627,506,411",No,"10,781,267,632",$0.0138,$1.35,$1.21,$1.50,$1.09,$1.50,$1.09,$1.86,$1.05,$4.38,$0.5136,$4.38,$0.05733,"Apr 02, 2021","May 06, 2020",2022-01-26 21:26:42.930127
25,39,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Helium,HNT,"$3,176,524,513.66","$6,487,370,806.03",$22.32,$25.81,$22.58,$25.68,13.75%,"$35,195,893.48",$29.09,"$62,687,347.76",0.01973,0.19%,"109,191,379","223,000,000","223,000,000",$3.74,$30.67,$24.54,$31.32,$19.96,$31.32,$19.96,$55.22,$19.96,$55.22,$1.84,$55.22,$0.2534,"Nov 12, 2021","Jun 10, 2020",2022-01-26 21:26:45.297606
26,41,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,Elrond,EGLD,"$2,993,436,707.71","$4,555,084,456.90",$128.73,$142.07,$131.20,$140.79,7.31%,"$151,868,918.48",$144.99,"$182,464,615.66",0.06095,0.18%,"20,645,410","31,415,926","23,016,298",$5.29,$157.84,$137.15,$185.19,$113.74,$269.62,$113.74,$542.58,$113.74,$542.58,$45.99,$542.58,$6.54,"Nov 23, 2021","Oct 07, 2020",2022-01-26 21:26:49.642615
27,42,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,Filecoin,FIL,"$2,928,072,551.36","$2,928,072,551.36",$17.75,$18.50,$18.41,$18.15,1.43%,"$331,086,545.77",$19.03,"$449,434,442.71",0.1535,0.17%,"153,840,042",No,"153,840,042",$0.8841,$20.21,$17.84,$28.65,$16.89,$28.65,$16.89,$69.64,$16.89,$237.24,$16.89,$237.24,$1.83,"Apr 01, 2021","Aug 29, 2019",2022-01-26 21:26:52.032283
28,44,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,Theta Network,THETA,"$2,824,808,422.84","$2,824,808,422.84",$2.49,$2.70,$2.59,$2.61,0.72%,"$251,347,358.37",$2.82,"$433,809,077.31",0.1536,0.17%,"1,000,000,000","1,000,000,000","1,000,000,000",$0.1912,$3.10,$2.57,$4.64,$2.29,$4.64,$2.29,$8.56,$2.29,$15.90,$1.85,$15.90,$0.03977,"Apr 16, 2021","Mar 13, 2020",2022-01-26 21:26:54.269953
